timestamp,date,time,open,high,low,close,volume
1736220900000,2025-01-07,03:35:00,2639.114,2639.898,2638.744,2639.145,0.0551
1736221200000,2025-01-07,03:40:00,2639.145,2640.125,2638.928,2639.105,0.0633
1736221500000,2025-01-07,03:45:00,2639.095,2639.135,2638.274,2638.598,0.0472
1736221800000,2025-01-07,03:50:00,2638.565,2638.798,2638.354,2638.598,0.0559
1736222100000,2025-01-07,03:55:00,2638.508,2639.385,2638.108,2639.378,0.0679
1736222400000,2025-01-07,04:00:00,2639.378,2639.378,2638.354,2639.325,0.0502
1736222700000,2025-01-07,04:05:00,2639.325,2639.695,2638.545,2638.545,0.0478
1736223000000,2025-01-07,04:10:00,2638.595,2639.018,2638.305,2638.635,0.0505
1736223300000,2025-01-07,04:15:00,2638.645,2639.315,2638.555,2638.585,0.0972
1736223600000,2025-01-07,04:20:00,2638.654,2638.895,2637.684,2638.024,0.0973
1736223900000,2025-01-07,04:25:00,2638.005,2638.185,2637.144,2637.774,0.0993
1736224200000,2025-01-07,04:30:00,2637.774,2638.445,2637.764,2638.055,0.0982
1736224500000,2025-01-07,04:35:00,2637.975,2638.535,2637.915,2638.175,0.1213
1736224800000,2025-01-07,04:40:00,2638.165,2638.385,2637.815,2637.855,0.0583
1736225100000,2025-01-07,04:45:00,2637.885,2638.475,2637.885,2638.015,0.075
1736225400000,2025-01-07,04:50:00,2638.015,2639.598,2637.925,2638.935,0.164
1736225700000,2025-01-07,04:55:00,2638.945,2638.945,2637.785,2638.055,0.1842
1736226000000,2025-01-07,05:00:00,2638.055,2638.185,2636.855,2638.165,0.2154
1736226300000,2025-01-07,05:05:00,2638.165,2638.875,2638.105,2638.735,0.1383
1736226600000,2025-01-07,05:10:00,2638.695,2639.355,2638.685,2639.095,0.1393
1736226900000,2025-01-07,05:15:00,2639.035,2640.775,2638.975,2640.415,0.1128
1736227200000,2025-01-07,05:20:00,2640.415,2644.075,2640.395,2643.248,0.1715
1736227500000,2025-01-07,05:25:00,2643.215,2643.835,2642.178,2642.998,0.1767
1736227800000,2025-01-07,05:30:00,2643.014,2644.198,2642.534,2643.498,0.3138
1736228100000,2025-01-07,05:35:00,2643.498,2645.655,2643.244,2644.905,0.1583
1736228400000,2025-01-07,05:40:00,2644.945,2645.215,2643.485,2644.084,0.1472
1736228700000,2025-01-07,05:45:00,2644.055,2644.718,2644.055,2644.308,0.1203
1736229000000,2025-01-07,05:50:00,2644.308,2644.995,2643.698,2644.848,0.1552
1736229300000,2025-01-07,05:55:00,2644.835,2644.945,2643.625,2644.405,0.1055
1736229600000,2025-01-07,06:00:00,2644.405,2645.495,2643.894,2644.644,0.1498
1736229900000,2025-01-07,06:05:00,2644.674,2646.515,2644.634,2646.198,0.3143
1736230200000,2025-01-07,06:10:00,2646.144,2646.398,2644.924,2645.154,0.2729
1736230500000,2025-01-07,06:15:00,2645.114,2645.648,2644.824,2644.948,0.2172
1736230800000,2025-01-07,06:20:00,2644.948,2645.204,2643.098,2644.148,0.2201
1736231100000,2025-01-07,06:25:00,2644.248,2645.385,2644.248,2645.298,0.1499
1736231400000,2025-01-07,06:30:00,2645.254,2645.748,2644.748,2645.348,0.1877
1736231700000,2025-01-07,06:35:00,2645.348,2645.384,2642.808,2643.014,0.2531
1736232000000,2025-01-07,06:40:00,2643.004,2643.948,2642.504,2643.448,0.1664
1736232300000,2025-01-07,06:45:00,2643.448,2643.648,2641.374,2641.604,0.2057
1736232600000,2025-01-07,06:50:00,2641.574,2641.654,2640.234,2640.805,0.231
1736232900000,2025-01-07,06:55:00,2640.825,2641.155,2639.648,2640.155,0.1324
1736233200000,2025-01-07,07:00:00,2640.148,2641.998,2639.775,2641.848,0.2127
1736233500000,2025-01-07,07:05:00,2641.848,2641.965,2641.055,2641.448,0.1105
1736233800000,2025-01-07,07:10:00,2641.495,2641.575,2639.815,2639.845,0.1695
1736234100000,2025-01-07,07:15:00,2639.838,2640.705,2639.575,2640.665,0.1455
1736234400000,2025-01-07,07:20:00,2640.648,2641.048,2639.415,2639.765,0.1144
1736234700000,2025-01-07,07:25:00,2639.815,2640.645,2639.635,2640.605,0.0918
1736235000000,2025-01-07,07:30:00,2640.545,2641.205,2639.848,2639.855,0.2386
1736235300000,2025-01-07,07:35:00,2639.848,2640.015,2639.165,2639.585,0.3481
1736235600000,2025-01-07,07:40:00,2639.555,2639.664,2638.485,2638.898,0.2108
1736235900000,2025-01-07,07:45:00,2638.898,2639.398,2638.525,2638.635,0.1821
1736236200000,2025-01-07,07:50:00,2638.645,2639.245,2637.945,2638.155,0.2427
1736236500000,2025-01-07,07:55:00,2638.155,2640.475,2638.105,2640.348,0.1912
1736236800000,2025-01-07,08:00:00,2640.348,2643.635,2639.885,2643.305,0.2602
1736237100000,2025-01-07,08:05:00,2643.295,2643.295,2640.955,2641.135,0.2364
1736237400000,2025-01-07,08:10:00,2641.105,2642.855,2641.035,2642.648,0.2538
1736237700000,2025-01-07,08:15:00,2642.685,2644.105,2642.548,2643.235,0.2487
1736238000000,2025-01-07,08:20:00,2643.245,2644.015,2642.485,2643.895,0.1599
1736238300000,2025-01-07,08:25:00,2643.895,2644.545,2643.415,2643.895,0.192
1736238600000,2025-01-07,08:30:00,2643.865,2644.625,2643.665,2644.025,0.1984
1736238900000,2025-01-07,08:35:00,2644.025,2644.205,2643.098,2643.285,0.149
1736239200000,2025-01-07,08:40:00,2643.275,2644.155,2642.955,2643.055,0.1847
1736239500000,2025-01-07,08:45:00,2643.065,2643.575,2641.775,2641.885,0.2249
1736239800000,2025-01-07,08:50:00,2641.875,2642.085,2640.428,2640.815,0.2978
