feature,mean,std,min,max
rsi_14,51.063445147032674,11.73783553889486,7.220451611563405,92.94810725861913
rsi_21,51.00986634478121,9.70595203523242,11.445073145621308,89.58895816612521
roc_5,0.0023836786491396467,0.19041732176922643,-4.926236634598558,4.57768749919325
roc_10,0.004760750214391397,0.2692971023702419,-6.981414320863866,4.278865786976427
roc_20,0.009507662425317977,0.37715339863483194,-7.143342862505209,5.145958075335821
roc_50,0.023779316754529316,0.5919523000526242,-7.419252750892968,7.044960647175702
bb_position,51.69329364815337,32.416230922805326,-54.98005212148276,155.08377854958056
bb_width_pct,0.4607645736245136,0.43962512530012926,0.02549344960418845,11.734444206586323
donchian_position,53.579644315901184,29.09871877128941,0.0,100.0
donchian_width_pct,0.49354035768251164,0.4165319517223746,0.042116505378990754,8.798966550569592
adx,33.25938946378276,13.136400652596135,7.553759773507107,96.15456489809142
plus_di,20.931123344951917,9.604134773580622,0.4733351555413485,87.22978452229248
minus_di,20.974088291509684,9.645814464266447,0.21902481311969343,86.75927538579896
di_diff,-0.04296494655850364,17.811186742138815,-84.98004767862527,85.16787285683111
di_ratio,1.6576568934229061,2.91133813492277,0.013141277845526513,209.46794173277146
dist_high_10,-0.1620120417350486,0.20381097645067275,-7.17705751753601,0.0
dist_low_10,0.18181217851773232,0.20500877823720468,0.0,5.0721143359739385
breakout_high_10,0.09337115084091176,0.2909528515213247,0.0,1.0
breakout_low_10,0.0751485278020639,0.26363176029964075,0.0,1.0
dist_high_20,-0.22962557822622995,0.2848005802553408,-7.723808348207487,0.0
dist_low_20,0.26405581049079074,0.28613513396410195,0.0,5.510743617702681
breakout_high_20,0.06619211202059769,0.2486184664310124,0.0,1.0
breakout_low_20,0.04921553914043192,0.21631849663699204,0.0,1.0
dist_high_50,-0.36596881098746564,0.43167355599069146,-8.156728396728012,0.0
dist_low_50,0.43633128905918417,0.44014419629233914,0.0,8.727086396105697
breakout_high_50,0.041773659463441165,0.20007222797668203,0.0,1.0
breakout_low_50,0.027282302645619205,0.16290537530528118,0.0,1.0
hour_sin,0.03128734883235251,0.7081566624845095,-1.0,1.0
hour_cos,-0.034162967169022604,0.7045388593862295,-1.0,1.0
dow_sin,0.03154964404763341,0.7067574704661725,-0.9510565162951536,0.9510565162951535
dow_cos,0.005061279332591277,0.7067388192436322,-0.8090169943749476,1.0
session_london,0.39253333700493603,0.4883160430635159,0.0,1.0
session_ny,0.3895868758562292,0.48765826063505513,0.0,1.0
session_asia,0.39302900336640073,0.4884248644153599,0.0,1.0
session_overlap,0.1744745592355723,0.3795183513130473,0.0,1.0
vol_ratio_sma,1.031904587363896,0.5563332132549625,0.0005620898500625325,8.65289194993705
vol_ratio_long,1.0473648933137103,0.6850130307241279,0.0004641965222396554,13.955146131490926
vol_trend,24.665537812939014,431.92182229064105,-99.92486851990984,107200.0
atr_percentile,49.637020769797395,30.93484428574953,0.5,100.0
adx_percentile,50.07170015603043,29.797159462441456,0.5,100.0
consecutive_up,1.002870734343483,1.3990509302305902,0.0,16.0
consecutive_down,0.9381793899173201,1.3147829456099902,0.0,14.0
dist_sma200,0.04531702347387305,0.6880217334581166,-8.795336286384417,5.46024087543013
